"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20070301 0.0 I 221.1 0.3190708 0.7268241
20070301 6.0 I 221.1 0.5011479 0.6058348
20070301 12.0 I 221.1 0.3054369 0.7368014
20070301 18.0 I 221.1 0.270941 0.7626615
20070302 0.0 I 221.1 0.2021292 0.8169894
20070302 6.0 I 221.1 0.150096 0.8606254
20070302 12.0 I 221.1 0.1371941 0.871801
20070302 18.0 I 221.1 0.1895473 0.8273336
20070305 0.0 I 221.1 0.3097264 0.7336476
20070305 6.0 I 221.1 0.2956547 0.7440443
20070305 12.0 I 221.1 0.1414572 0.8680923
20070305 18.0 I 221.1 0.1594468 0.8526153
20070306 0.0 I 221.1 0.1887836 0.8279657
20070306 6.0 I 221.1 0.191555 0.8256742
20070306 12.0 I 221.1 0.1668092 0.8463611
20070306 18.0 I 221.1 0.2433868 0.7839682
20070307 0.0 I 221.1 0.475879 0.6213387
20070307 6.0 I 221.1 0.7262558 0.4837167
20070307 12.0 I 221.1 0.8567057 0.4245584
20070307 18.0 I 221.1 0.2635321 0.768333
20070308 0.0 I 221.1 0.2355697 0.7901206
20070308 6.0 I 221.1 0.3243995 0.7229614
20070308 12.0 I 221.1 0.1786835 0.8363706
20070308 18.0 I 221.1 0.1716594 0.842266
20070309 0.0 I 221.1 0.1914937 0.8257248
20070309 6.0 I 221.1 0.142325 0.8673393
20070309 12.0 I 221.1 0.1265164 0.8811597
20070310 0.0 I 221.1 0.2484645 0.7799975
20070310 6.0 I 221.1 0.2118897 0.809054
20070310 12.0 I 221.1 0.1038578 0.9013534
20070311 0.0 I 221.1 0.1122974 0.8937784
20070311 6.0 I 221.1 0.1697629 0.8438649
20070311 12.0 I 221.1 0.1754503 0.8390791
20070312 0.0 I 221.1 0.1684794 0.8449486
20070312 6.0 I 221.1 0.1550542 0.8563687
20070312 18.0 I 221.1 0.1666115 0.8465284
20070313 6.0 I 221.1 0.2160395 0.8057034
20070313 12.0 I 221.1 0.1487909 0.8617493
20070313 18.0 I 221.1 0.1732838 0.840899
20070314 0.0 I 221.1 0.1403458 0.8690577
20070314 6.0 I 221.1 0.1293634 0.8786546
20070314 12.0 I 221.1 0.1269434 0.8807835
20070314 18.0 I 221.1 0.1399535 0.8693986
