"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 A 221.1 0.06926512 0.9330793
20180418 2.0 A 221.1 0.05605426 0.9454878
20180418 3.0 A 221.1 0.05137454 0.9499228
20180418 4.0 A 221.1 0.04769301 0.9534264
20180418 5.0 A 221.1 0.04652441 0.9545413
20180418 6.0 A 221.1 0.04622869 0.9548236
20180418 7.0 A 221.1 0.04646149 0.9546013
20180418 8.0 A 221.1 0.04617705 0.9548729
20180418 9.0 A 221.1 0.04545778 0.9555599
20180418 10.0 A 221.1 0.04416458 0.9567965
20180418 11.0 A 221.1 0.0422179 0.9586609
20180418 12.0 A 221.1 0.0401949 0.9606022
20180418 13.0 A 221.1 0.03943116 0.9613361
20180418 14.0 A 221.1 0.03926986 0.9614912
20180418 15.0 A 221.1 0.04459629 0.9563835
20180418 16.0 A 221.1 0.05297606 0.9484027
20180418 17.0 A 221.1 0.06424882 0.9377716
20180418 18.0 A 221.1 0.07589564 0.9269129
20180418 19.0 A 221.1 0.08846122 0.9153386
20180418 20.0 A 221.1 0.09853217 0.9061665
20180418 21.0 A 221.1 0.1042209 0.9010263
20180418 22.0 A 221.1 0.1061302 0.8993075
20180418 23.0 A 221.1 0.1040064 0.9012196
20180419 0.0 A 221.1 0.1004278 0.9044504
20180419 1.0 A 221.1 0.09859697 0.9061078
20180419 2.0 A 221.1 0.09720586 0.9073692
20180419 3.0 A 221.1 0.09490657 0.9094579
20180419 4.0 A 221.1 0.09365304 0.9105986
20180419 5.0 A 221.1 0.09366569 0.9105871
20180419 6.0 A 221.1 0.09421544 0.9100867
20180419 7.0 A 221.1 0.09511288 0.9092703
20180419 8.0 A 221.1 0.0957004 0.9087362
20180419 9.0 A 221.1 0.09659414 0.9079244
20180419 10.0 A 221.1 0.09781411 0.9068175
20180419 11.0 A 221.1 0.100829 0.9040876
20180419 12.0 A 221.1 0.1047117 0.9005841
20180419 13.0 A 221.1 0.1104005 0.8954754
20180419 14.0 A 221.1 0.1155134 0.8909087
20180419 15.0 A 221.1 0.1212366 0.8858244
20180419 16.0 A 221.1 0.1299249 0.8781614
20180419 17.0 A 221.1 0.1430722 0.8666915
20180419 18.0 A 221.1 0.150545 0.860239
20180419 19.0 A 221.1 0.1528911 0.8582232
20180419 20.0 A 221.1 0.1480764 0.8623652
20180419 21.0 A 221.1 0.1357512 0.8730599
20180419 22.0 A 221.1 0.1248205 0.8826553
20180419 23.0 A 221.1 0.119279 0.8875601
20180420 0.0 A 221.1 0.1204021 0.8865639
20180420 1.0 A 221.1 0.1238209 0.883538
20180420 2.0 A 221.1 0.1265064 0.8811685
20180420 3.0 A 221.1 0.1255147 0.8820428
20180420 4.0 A 221.1 0.1208915 0.8861301
20180420 5.0 A 221.1 0.1146001 0.8917226
20180420 6.0 A 221.1 0.1065163 0.8989604
20180420 7.0 A 221.1 0.09716113 0.9074098
20180420 8.0 A 221.1 0.08639446 0.9172324
20180420 9.0 A 221.1 0.07831808 0.9246703
20180420 10.0 A 221.1 0.07409426 0.9285842
20180420 11.0 A 221.1 0.0722968 0.9302548
20180420 12.0 A 221.1 0.07274162 0.9298411
20180420 13.0 A 221.1 0.07602824 0.92679
20180420 14.0 A 221.1 0.07898538 0.9240534
20180420 15.0 A 221.1 0.08433323 0.9191249
20180420 16.0 A 221.1 0.0905998 0.9133832
20180420 17.0 A 221.1 0.1012947 0.9036667
20180420 18.0 A 221.1 0.1069143 0.8986027
20180420 19.0 A 221.1 0.1115218 0.8944719
20180420 20.0 A 221.1 0.1146791 0.8916522
20180420 21.0 A 221.1 0.1167467 0.8898106
20180420 22.0 A 221.1 0.1222042 0.8849677
20180420 23.0 A 221.1 0.1305672 0.8775975
20180421 0.0 A 221.1 0.1416828 0.8678965
20180421 1.0 A 221.1 0.1588937 0.853087
20180421 2.0 A 221.1 0.1657769 0.8472352
20180421 3.0 A 221.1 0.181526 0.8339965
20180421 4.0 A 221.1 0.1625443 0.8499784
20180421 5.0 A 221.1 0.1597518 0.8523553
20180421 6.0 A 221.1 0.157582 0.8542068
20180421 7.0 A 221.1 0.1563121 0.8552922
20180421 8.0 A 221.1 0.1544758 0.8568643
20180421 9.0 A 221.1 0.1511256 0.8597397
20180421 10.0 A 221.1 0.1470862 0.8632196
20180421 11.0 A 221.1 0.1428566 0.8668784
20180421 12.0 A 221.1 0.1402264 0.8691615
20180421 13.0 A 221.1 0.1415727 0.8679921
20180421 14.0 A 221.1 0.1485248 0.8619787
20180421 15.0 A 221.1 0.157933 0.853907
20180421 16.0 A 221.1 0.1730515 0.8410943
20180421 17.0 A 221.1 0.1934863 0.8240812
20180421 18.0 A 221.1 0.2094798 0.811006
20180421 19.0 A 221.1 0.2226231 0.8004165
20180421 20.0 A 221.1 0.2088732 0.8114982
20180421 21.0 A 221.1 0.2161567 0.8056091
20180421 22.0 A 221.1 0.2318313 0.7930799
20180421 23.0 A 221.1 0.2412007 0.7856839
20180422 0.0 A 221.1 0.2348344 0.7907018
20180422 1.0 A 221.1 0.2239405 0.7993627
20180422 2.0 A 221.1 0.2290241 0.7953094
20180422 3.0 A 221.1 0.2355947 0.7901009
20180422 4.0 A 221.1 0.2426744 0.7845269
20180422 5.0 A 221.1 0.2653874 0.7669088
20180422 6.0 A 221.1 0.2537339 0.7758983
20180422 7.0 A 221.1 0.2305854 0.7940686
20180422 8.0 A 221.1 0.2246032 0.7988331
20180422 9.0 A 221.1 0.2203279 0.8022557
20180422 10.0 A 221.1 0.2177545 0.8043228
20180422 11.0 A 221.1 0.2164294 0.8053894
20180422 12.0 A 221.1 0.2163026 0.8054915
20180422 13.0 A 221.1 0.2173313 0.8046633
20180422 14.0 A 221.1 0.2178488 0.804247
20180422 15.0 A 221.1 0.2199579 0.8025526
20180422 16.0 A 221.1 0.2263898 0.7974072
20180422 17.0 A 221.1 0.2580187 0.7725808
20180422 18.0 A 221.1 0.2663147 0.766198
20180422 19.0 A 221.1 0.2134737 0.8077734
20180422 20.0 A 221.1 0.19201 0.8252986
20180422 21.0 A 221.1 0.1798723 0.8353769
20180422 22.0 A 221.1 0.1764735 0.838221
20180422 23.0 A 221.1 0.1750066 0.8394515
20180423 0.0 A 221.1 0.1696009 0.8440016
