"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 G 221.1 0.2290628 0.7952786
20180418 2.0 G 221.1 0.2272779 0.7966993
20180418 3.0 G 221.1 0.2250612 0.7984673
20180418 4.0 G 221.1 0.2227604 0.8003065
20180418 5.0 G 221.1 0.2205035 0.8021149
20180418 6.0 G 221.1 0.2189785 0.803339
20180418 7.0 G 221.1 0.2176232 0.8044285
20180418 8.0 G 221.1 0.2170653 0.8048774
20180418 9.0 G 221.1 0.2169811 0.8049452
20180418 10.0 G 221.1 0.2169061 0.8050055
20180418 11.0 G 221.1 0.2167602 0.805123
20180418 12.0 G 221.1 0.2165933 0.8052574
20180418 13.0 G 221.1 0.2169837 0.8049431
20180418 14.0 G 221.1 0.2182121 0.8039549
20180418 15.0 G 221.1 0.2192163 0.803148
20180418 16.0 G 221.1 0.2198711 0.8026222
20180418 17.0 G 221.1 0.2194375 0.8029704
20180418 18.0 G 221.1 0.2183734 0.8038252
20180418 19.0 G 221.1 0.2169815 0.8049448
20180418 20.0 G 221.1 0.2148745 0.8066427
20180418 21.0 G 221.1 0.2123978 0.8086429
20180418 22.0 G 221.1 0.2088771 0.811495
20180418 23.0 G 221.1 0.2046819 0.8149065
20180419 0.0 G 221.1 0.2007702 0.8181004
20180419 1.0 G 221.1 0.1982965 0.8201266
20180419 2.0 G 221.1 0.1965219 0.8215833
20180419 3.0 G 221.1 0.1948705 0.8229412
20180419 4.0 G 221.1 0.1965295 0.8215771
20180419 5.0 G 221.1 0.1999571 0.8187659
20180419 6.0 G 221.1 0.2082449 0.8120082
20180419 7.0 G 221.1 0.2172878 0.8046984
20180419 8.0 G 221.1 0.2277104 0.7963548
20180419 9.0 G 221.1 0.2418608 0.7851654
20180419 10.0 G 221.1 0.2618344 0.7696385
20180419 11.0 G 221.1 0.2809917 0.7550346
20180419 12.0 G 221.1 0.3070692 0.7355997
20180419 13.0 G 221.1 0.3259711 0.721826
20180419 14.0 G 221.1 0.3441337 0.7088341
20180419 15.0 G 221.1 0.3720406 0.6893263
20180419 16.0 G 221.1 0.4180375 0.6583376
20180419 17.0 G 221.1 0.4823935 0.6173041
20180419 18.0 G 221.1 0.5362832 0.5849183
20180419 19.0 G 221.1 0.5819998 0.5587798
20180419 20.0 G 221.1 0.6159141 0.5401469
20180419 21.0 G 221.1 0.6508893 0.5215817
20180419 22.0 G 221.1 0.6895105 0.5018216
20180419 23.0 G 221.1 0.7291772 0.4823057
20180420 0.0 G 221.1 0.7663232 0.4647186
20180420 1.0 G 221.1 0.8029903 0.4479873
20180420 2.0 G 221.1 0.8080209 0.4457394
20180420 3.0 G 221.1 0.7988811 0.449832
20180420 4.0 G 221.1 0.7594602 0.467919
20180420 5.0 G 221.1 0.7299209 0.4819471
20180420 6.0 G 221.1 0.6602745 0.5167095
20180420 7.0 G 221.1 0.5795184 0.5601681
20180420 8.0 G 221.1 0.5320464 0.5874017
20180420 9.0 G 221.1 0.5454551 0.5795779
20180420 10.0 G 221.1 0.5978492 0.5499933
20180420 11.0 G 221.1 0.6009298 0.5483016
20180420 12.0 G 221.1 0.5686575 0.5662852
20180420 13.0 G 221.1 0.5881679 0.5553438
20180420 14.0 G 221.1 0.6205472 0.5376502
20180420 15.0 G 221.1 0.6354691 0.529687
20180420 16.0 G 221.1 0.6427789 0.5258292
20180420 17.0 G 221.1 0.6571851 0.5183083
20180420 18.0 G 221.1 0.6772454 0.5080144
20180420 19.0 G 221.1 0.6822361 0.5054854
20180420 20.0 G 221.1 0.6784466 0.5074046
20180420 21.0 G 221.1 0.6722765 0.510545
20180420 22.0 G 221.1 0.6882507 0.5024542
20180420 23.0 G 221.1 0.6970707 0.4980421
20180421 0.0 G 221.1 0.7103288 0.4914826
20180421 1.0 G 221.1 0.7416164 0.4763433
20180421 2.0 G 221.1 0.7721097 0.4620373
20180421 3.0 G 221.1 0.7377134 0.4782061
20180421 4.0 G 221.1 0.7218975 0.4858295
20180421 5.0 G 221.1 0.7199336 0.4867846
20180421 6.0 G 221.1 0.6918523 0.5006479
20180421 7.0 G 221.1 0.665081 0.5142319
20180421 8.0 G 221.1 0.6473873 0.5234115
20180421 9.0 G 221.1 0.6708089 0.5112948
20180421 10.0 G 221.1 0.7193331 0.487077
20180421 11.0 G 221.1 0.722454 0.4855592
20180421 12.0 G 221.1 0.6449733 0.5246765
20180421 13.0 G 221.1 0.6607406 0.5164687
20180421 14.0 G 221.1 0.7299014 0.4819565
20180421 15.0 G 221.1 0.7165529 0.488433
20180421 16.0 G 221.1 0.6694331 0.5119987
20180421 17.0 G 221.1 0.6054917 0.545806
20180421 18.0 G 221.1 0.5475518 0.578364
20180421 19.0 G 221.1 0.4815442 0.6178286
20180421 20.0 G 221.1 0.397664 0.6718877
20180421 21.0 G 221.1 0.3156951 0.7292818
20180421 22.0 G 221.1 0.2726217 0.7613807
20180421 23.0 G 221.1 0.234024 0.7913428
20180422 0.0 G 221.1 0.2139405 0.8073964
20180422 1.0 G 221.1 0.205177 0.8145032
20180422 2.0 G 221.1 0.2025176 0.8166721
20180422 3.0 G 221.1 0.2095269 0.8109679
20180422 4.0 G 221.1 0.2143027 0.807104
20180422 5.0 G 221.1 0.2177265 0.8043454
20180422 6.0 G 221.1 0.252489 0.7768647
20180422 7.0 G 221.1 0.3438575 0.7090299
20180422 8.0 G 221.1 0.4656375 0.6277348
20180422 9.0 G 221.1 0.5613989 0.5704105
20180422 10.0 G 221.1 0.7229706 0.4853084
20180422 11.0 G 221.1 0.8787877 0.4152861
20180422 12.0 G 221.1 0.9283071 0.3952222
20180422 13.0 G 221.1 0.9730031 0.3779463
20180422 14.0 G 221.1 0.9906908 0.3713201
20180422 15.0 G 221.1 1.047319 0.3508773
20180422 16.0 G 221.1 1.043305 0.3522885
20180422 17.0 G 221.1 1.201879 0.3006287
20180422 18.0 G 221.1 1.33842 0.2622598
20180422 19.0 G 221.1 1.281789 0.2775403
20180422 20.0 G 221.1 1.357144 0.2573949
20180422 21.0 G 221.1 1.433061 0.2385775
20180422 22.0 G 221.1 1.332958 0.263696
20180422 23.0 G 221.1 1.23901 0.2896709
