"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180411 7.0 L 221.1 0.7721201 0.4620325
20180411 8.0 L 221.1 0.562535 0.5697629
20180411 9.0 L 221.1 0.4168573 0.659115
20180411 10.0 L 221.1 0.3168921 0.7284093
20180411 11.0 L 221.1 0.3439422 0.7089699
20180411 12.0 L 221.1 0.3123982 0.7316901
20180411 13.0 L 221.1 0.2583395 0.772333
20180411 14.0 L 221.1 0.2264989 0.7973202
20180411 15.0 L 221.1 0.2287964 0.7954905
20180411 16.0 L 221.1 0.2459184 0.7819861
20180411 17.0 L 221.1 0.317457 0.727998
20180411 18.0 L 221.1 0.4043106 0.6674368
20180411 19.0 L 221.1 0.4002749 0.6701358
20180411 20.0 L 221.1 0.35502 0.7011595
20180411 21.0 L 221.1 0.3462642 0.7073256
20180411 22.0 L 221.1 0.3212849 0.7252166
20180411 23.0 L 221.1 0.295217 0.74437
20180411 24.0 L 221.1 0.2485456 0.7799343
20180411 25.0 L 221.1 0.3019521 0.7393735
20180411 26.0 L 221.1 0.3035959 0.7381591
20180411 27.0 L 221.1 0.2814421 0.7546946
20180411 28.0 L 221.1 0.2294042 0.7950071
20180411 29.0 L 221.1 0.1973847 0.8208748
20180411 30.0 L 221.1 0.203376 0.8159714
20180411 31.0 L 221.1 0.2048383 0.814779
20180411 32.0 L 221.1 0.2056535 0.8141151
20180411 33.0 L 221.1 0.2218574 0.8010296
20180411 34.0 L 221.1 0.2551079 0.7748329
20180411 35.0 L 221.1 0.2749794 0.7595878
20180413 1.0 L 221.1 0.4122057 0.6621881
