"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 P 221.1 0.3373935 0.713628
20180418 2.0 P 221.1 0.3437708 0.7090914
20180418 3.0 P 221.1 0.3468161 0.7069353
20180418 4.0 P 221.1 0.3492551 0.7052132
20180418 5.0 P 221.1 0.3496609 0.7049271
20180418 6.0 P 221.1 0.3475239 0.7064352
20180418 7.0 P 221.1 0.3449579 0.7082502
20180418 8.0 P 221.1 0.3307205 0.718406
20180418 9.0 P 221.1 0.3081929 0.7347736
20180418 10.0 P 221.1 0.2875659 0.7500872
20180418 11.0 P 221.1 0.3159516 0.7290947
20180418 12.0 P 221.1 0.3313212 0.7179746
20180418 13.0 P 221.1 0.3170289 0.7283097
20180418 14.0 P 221.1 0.3062495 0.7362029
20180418 15.0 P 221.1 0.288553 0.7493471
20180418 16.0 P 221.1 0.2537962 0.7758499
20180418 17.0 P 221.1 0.2189515 0.8033607
20180418 18.0 P 221.1 0.1804864 0.8348641
20180418 19.0 P 221.1 0.1482674 0.8622006
20180418 20.0 P 221.1 0.1298648 0.8782142
20180418 21.0 P 221.1 0.1214351 0.8856485
20180418 22.0 P 221.1 0.1144229 0.8918807
20180418 23.0 P 221.1 0.1056934 0.8997005
20180419 0.0 P 221.1 0.09744072 0.9071561
20180419 1.0 P 221.1 0.09076594 0.9132314
20180419 2.0 P 221.1 0.08818011 0.915596
20180419 3.0 P 221.1 0.09112056 0.9129076
20180419 4.0 P 221.1 0.09883835 0.9058891
20180419 5.0 P 221.1 0.1097878 0.8960243
20180419 6.0 P 221.1 0.1210049 0.8860296
20180419 7.0 P 221.1 0.1289423 0.8790247
20180419 8.0 P 221.1 0.1317078 0.8765971
20180419 9.0 P 221.1 0.132282 0.8760939
20180419 10.0 P 221.1 0.1393942 0.8698851
20180419 11.0 P 221.1 0.1685585 0.8448818
20180419 12.0 P 221.1 0.2174075 0.804602
20180419 13.0 P 221.1 0.2692569 0.763947
20180419 14.0 P 221.1 0.2982158 0.7421411
20180419 15.0 P 221.1 0.3056179 0.736668
20180419 16.0 P 221.1 0.3026089 0.738888
20180419 17.0 P 221.1 0.2919536 0.7468032
20180419 18.0 P 221.1 0.2750443 0.7595385
20180419 19.0 P 221.1 0.261272 0.7700715
20180419 20.0 P 221.1 0.2486387 0.7798617
20180419 21.0 P 221.1 0.2345879 0.7908967
20180419 22.0 P 221.1 0.2223522 0.8006333
20180419 23.0 P 221.1 0.2110261 0.809753
20180420 0.0 P 221.1 0.2024059 0.8167633
20180420 1.0 P 221.1 0.1949046 0.8229132
20180420 2.0 P 221.1 0.1895351 0.8273437
20180420 3.0 P 221.1 0.1861558 0.8301443
20180420 4.0 P 221.1 0.1835972 0.832271
20180420 5.0 P 221.1 0.1809515 0.8344759
20180420 6.0 P 221.1 0.1770652 0.8377252
20180420 7.0 P 221.1 0.1717173 0.8422172
20180420 8.0 P 221.1 0.1675394 0.8457433
20180420 9.0 P 221.1 0.1647621 0.8480955
20180420 10.0 P 221.1 0.171897 0.8420659
20180420 11.0 P 221.1 0.2007465 0.8181198
20180420 12.0 P 221.1 0.2462289 0.7817433
20180420 13.0 P 221.1 0.2919039 0.7468403
20180420 14.0 P 221.1 0.3195513 0.7264749
20180420 15.0 P 221.1 0.3341418 0.7159523
20180420 16.0 P 221.1 0.3297947 0.7190713
20180420 17.0 P 221.1 0.3082397 0.7347392
20180420 18.0 P 221.1 0.2822703 0.7540699
20180420 19.0 P 221.1 0.2560713 0.7740868
20180420 20.0 P 221.1 0.2263421 0.7974453
20180420 21.0 P 221.1 0.2032841 0.8160464
20180420 22.0 P 221.1 0.1854443 0.8307351
20180420 23.0 P 221.1 0.1701516 0.8435369
20180421 0.0 P 221.1 0.157779 0.8540385
20180421 1.0 P 221.1 0.1487021 0.8618258
20180421 2.0 P 221.1 0.1429766 0.8667744
20180421 3.0 P 221.1 0.1393146 0.8699543
20180421 4.0 P 221.1 0.1372302 0.8717696
20180421 5.0 P 221.1 0.137105 0.8718787
20180421 6.0 P 221.1 0.1388096 0.8703938
20180421 7.0 P 221.1 0.1409147 0.8685634
20180421 8.0 P 221.1 0.1428217 0.8669086
20180421 9.0 P 221.1 0.1444357 0.8655106
20180421 10.0 P 221.1 0.1520692 0.8589289
20180421 11.0 P 221.1 0.1731862 0.840981
20180421 12.0 P 221.1 0.2176021 0.8044455
20180421 13.0 P 221.1 0.2664216 0.7661161
20180421 14.0 P 221.1 0.3183484 0.7273493
20180421 15.0 P 221.1 0.3443349 0.7086915
20180421 16.0 P 221.1 0.3601662 0.6975604
20180421 17.0 P 221.1 0.3640566 0.6948518
20180421 18.0 P 221.1 0.3555897 0.7007601
20180421 19.0 P 221.1 0.3235616 0.7235674
20180421 20.0 P 221.1 0.2968811 0.7431323
20180421 21.0 P 221.1 0.2747287 0.7597782
20180421 22.0 P 221.1 0.2618379 0.7696358
20180421 23.0 P 221.1 0.2534894 0.776088
20180422 0.0 P 221.1 0.2423975 0.7847442
20180422 1.0 P 221.1 0.2285956 0.7956502
20180422 2.0 P 221.1 0.215829 0.8058731
20180422 3.0 P 221.1 0.2067289 0.8132401
20180422 4.0 P 221.1 0.202356 0.8168041
20180422 5.0 P 221.1 0.2010116 0.817903
20180422 6.0 P 221.1 0.200789 0.818085
20180422 7.0 P 221.1 0.1996398 0.8190257
20180422 8.0 P 221.1 0.1930804 0.8244157
20180422 9.0 P 221.1 0.1858284 0.8304161
20180422 10.0 P 221.1 0.1900001 0.826959
20180422 11.0 P 221.1 0.2042778 0.8152359
20180422 12.0 P 221.1 0.2229305 0.8001705
20180422 13.0 P 221.1 0.231721 0.7931674
20180422 14.0 P 221.1 0.2273942 0.7966067
20180422 15.0 P 221.1 0.1940214 0.8236403
20180422 16.0 P 221.1 0.1795345 0.8356591
20180422 17.0 P 221.1 0.1690679 0.8444516
20180422 18.0 P 221.1 0.1471091 0.8631998
20180422 19.0 P 221.1 0.1519172 0.8590594
20180422 20.0 P 221.1 0.1738332 0.840437
20180422 21.0 P 221.1 0.1954525 0.8224624
20180422 22.0 P 221.1 0.213707 0.807585
20180422 23.0 P 221.1 0.2317651 0.7931324
20180423 0.0 P 221.1 0.2543476 0.7754222
