"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 P 221.1 0.2704102 0.7630664
20180418 2.0 P 221.1 0.2646914 0.7674428
20180418 3.0 P 221.1 0.2568223 0.7735057
20180418 4.0 P 221.1 0.2494429 0.7792348
20180418 5.0 P 221.1 0.2434156 0.7839457
20180418 6.0 P 221.1 0.2372843 0.788767
20180418 7.0 P 221.1 0.2325113 0.7925408
20180418 8.0 P 221.1 0.2291386 0.7952183
20180418 9.0 P 221.1 0.2272133 0.7967508
20180418 10.0 P 221.1 0.2277931 0.796289
20180418 11.0 P 221.1 0.2317177 0.79317
20180418 12.0 P 221.1 0.2403051 0.7863879
20180418 13.0 P 221.1 0.2558756 0.7742382
20180418 14.0 P 221.1 0.2784579 0.7569501
20180418 15.0 P 221.1 0.3061031 0.7363107
20180418 16.0 P 221.1 0.3305296 0.7185431
20180418 17.0 P 221.1 0.3331705 0.716648
20180418 18.0 P 221.1 0.3172465 0.7281513
20180418 19.0 P 221.1 0.2983458 0.7420447
20180418 20.0 P 221.1 0.2807895 0.7551873
20180418 21.0 P 221.1 0.2681319 0.7648069
20180418 22.0 P 221.1 0.2574732 0.7730023
20180418 23.0 P 221.1 0.2458257 0.7820586
20180419 0.0 P 221.1 0.2303951 0.7942198
20180419 1.0 P 221.1 0.2151118 0.8064513
20180419 2.0 P 221.1 0.2033584 0.8159858
20180419 3.0 P 221.1 0.195764 0.8222063
20180419 4.0 P 221.1 0.1915617 0.8256687
20180419 5.0 P 221.1 0.189581 0.8273057
20180419 6.0 P 221.1 0.1887826 0.8279665
20180419 7.0 P 221.1 0.1887362 0.8280049
20180419 8.0 P 221.1 0.1892037 0.8276179
20180419 9.0 P 221.1 0.1889827 0.8278008
20180419 10.0 P 221.1 0.1910913 0.8260572
20180419 11.0 P 221.1 0.1948591 0.8229506
20180419 12.0 P 221.1 0.2015358 0.8174743
20180419 13.0 P 221.1 0.2103815 0.8102751
20180419 14.0 P 221.1 0.2223817 0.8006097
20180419 15.0 P 221.1 0.2324281 0.7926067
20180419 16.0 P 221.1 0.2403529 0.7863503
20180419 17.0 P 221.1 0.2389945 0.7874192
20180419 18.0 P 221.1 0.2271884 0.7967706
20180419 19.0 P 221.1 0.2192158 0.8031483
20180419 20.0 P 221.1 0.2163542 0.80545
20180419 21.0 P 221.1 0.2185058 0.8037188
20180419 22.0 P 221.1 0.227699 0.7963639
20180419 23.0 P 221.1 0.2443017 0.7832513
20180420 0.0 P 221.1 0.2553469 0.7746477
