"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 S 221.1 0.3890632 0.6776914
20180418 2.0 S 221.1 0.3384873 0.7128478
20180418 3.0 S 221.1 0.30468 0.7373593
20180418 4.0 S 221.1 0.2769707 0.7580767
20180418 5.0 S 221.1 0.2652297 0.7670297
20180418 6.0 S 221.1 0.2576552 0.7728617
20180418 7.0 S 221.1 0.2547281 0.7751272
20180418 8.0 S 221.1 0.252116 0.7771546
20180418 9.0 S 221.1 0.2447672 0.7828868
20180418 10.0 S 221.1 0.2298008 0.7946919
20180418 11.0 S 221.1 0.2196553 0.8027955
20180418 12.0 S 221.1 0.2080475 0.8121684
20180418 13.0 S 221.1 0.1992165 0.8193725
20180418 14.0 S 221.1 0.1940873 0.823586
20180418 15.0 S 221.1 0.1936712 0.8239288
20180418 16.0 S 221.1 0.2060856 0.8137634
20180418 17.0 S 221.1 0.2155888 0.8060667
20180418 18.0 S 221.1 0.2205595 0.8020699
20180418 19.0 S 221.1 0.2381746 0.7880651
20180418 20.0 S 221.1 0.2607152 0.7705003
20180418 21.0 S 221.1 0.2891708 0.7488843
20180418 22.0 S 221.1 0.3096152 0.7337293
20180418 23.0 S 221.1 0.3016012 0.739633
20180419 0.0 S 221.1 0.3507774 0.7041405
20180419 1.0 S 221.1 0.421174 0.6562759
20180419 2.0 S 221.1 0.4029674 0.6683339
20180419 3.0 S 221.1 0.3503806 0.7044199
20180419 4.0 S 221.1 0.3302436 0.7187486
20180419 5.0 S 221.1 0.351751 0.7034552
20180419 6.0 S 221.1 0.3769137 0.6859753
20180419 7.0 S 221.1 0.4224908 0.6554123
20180419 8.0 S 221.1 0.4747038 0.6220693
20180419 9.0 S 221.1 0.4577362 0.6327144
20180419 10.0 S 221.1 0.4216569 0.655959
20180419 11.0 S 221.1 0.4395315 0.6443382
20180419 12.0 S 221.1 0.4492688 0.6380945
20180419 13.0 S 221.1 0.4749245 0.621932
20180419 14.0 S 221.1 0.4855505 0.6153583
20180419 15.0 S 221.1 0.5079029 0.6017562
20180419 16.0 S 221.1 0.5528851 0.5752876
20180419 17.0 S 221.1 0.6542511 0.5198312
20180419 18.0 S 221.1 0.8085308 0.4455121
20180419 19.0 S 221.1 1.009773 0.3643016
20180419 20.0 S 221.1 1.35882 0.2569638
20180419 21.0 S 221.1 1.491335 0.225072
20180419 22.0 S 221.1 1.568513 0.2083548
20180419 23.0 S 221.1 1.73268 0.17681
20180420 0.0 S 221.1 2.152731 0.1161665
20180420 1.0 S 221.1 2.862674 0.05711583
20180420 2.0 S 221.1 2.649388 0.07069445
20180420 3.0 S 221.1 1.921575 0.1463763
20180420 4.0 S 221.1 2.17137 0.1140212
20180420 5.0 S 221.1 1.966938 0.1398845
20180420 6.0 S 221.1 1.858025 0.1559803
20180420 7.0 S 221.1 1.475574 0.2286475
20180420 8.0 S 221.1 1.329618 0.2645784
20180420 9.0 S 221.1 1.385819 0.2501189
20180420 10.0 S 221.1 1.467775 0.2304377
20180420 11.0 S 221.1 1.542736 0.2137954
20180420 12.0 S 221.1 1.51742 0.2192768
20180420 13.0 S 221.1 1.475184 0.2287366
20180420 14.0 S 221.1 1.288084 0.2757986
20180420 15.0 S 221.1 1.201076 0.3008704
20180420 16.0 S 221.1 1.010853 0.3639084
20180420 17.0 S 221.1 0.8426735 0.4305579
20180420 18.0 S 221.1 0.7533067 0.4708072
20180420 19.0 S 221.1 0.7568961 0.4691203
20180420 20.0 S 221.1 0.8457769 0.4292238
20180420 21.0 S 221.1 0.8218803 0.4396043
20180420 22.0 S 221.1 0.6252877 0.5351074
20180420 23.0 S 221.1 0.4916543 0.6116137
20180421 0.0 S 221.1 0.4102884 0.6634589
20180421 1.0 S 221.1 0.3837224 0.6813205
20180421 2.0 S 221.1 0.3494282 0.7050912
20180421 3.0 S 221.1 0.3189561 0.7269075
20180421 4.0 S 221.1 0.3001655 0.7406956
20180421 5.0 S 221.1 0.2972854 0.7428319
20180421 6.0 S 221.1 0.3013357 0.7398294
20180421 7.0 S 221.1 0.3048917 0.7372032
20180421 8.0 S 221.1 0.3042182 0.7376999
20180421 9.0 S 221.1 0.2823061 0.7540428
20180421 10.0 S 221.1 0.2732466 0.7609052
20180421 11.0 S 221.1 0.2714201 0.7622962
20180421 12.0 S 221.1 0.2695845 0.7636968
20180421 13.0 S 221.1 0.2611256 0.7701842
20180421 14.0 S 221.1 0.2808178 0.7551659
20180421 15.0 S 221.1 0.266295 0.766213
20180421 16.0 S 221.1 0.2310514 0.7936986
20180421 17.0 S 221.1 0.2187794 0.803499
20180421 18.0 S 221.1 0.1958305 0.8221516
