"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 S 221.1 0.06442054 0.9376106
20180418 2.0 S 221.1 0.06195703 0.9399233
20180418 3.0 S 221.1 0.06193087 0.9399479
20180418 4.0 S 221.1 0.06184403 0.9400295
20180418 5.0 S 221.1 0.06195301 0.939927
20180418 6.0 S 221.1 0.06160865 0.9402508
20180418 7.0 S 221.1 0.06149127 0.9403612
20180418 8.0 S 221.1 0.06233619 0.939567
20180418 9.0 S 221.1 0.06325171 0.9387072
20180418 10.0 S 221.1 0.063743 0.9382461
20180418 11.0 S 221.1 0.06357535 0.9384034
20180418 12.0 S 221.1 0.06235284 0.9395513
20180418 13.0 S 221.1 0.06079256 0.9410184
20180418 14.0 S 221.1 0.05914523 0.9425699
20180418 15.0 S 221.1 0.05787337 0.9437694
20180418 16.0 S 221.1 0.05696283 0.9446292
20180418 17.0 S 221.1 0.05636273 0.9451962
20180418 18.0 S 221.1 0.05778132 0.9438563
20180418 19.0 S 221.1 0.06253678 0.9393785
20180418 20.0 S 221.1 0.07169161 0.9308179
20180418 21.0 S 221.1 0.08138585 0.9218379
20180418 22.0 S 221.1 0.08675677 0.9169001
20180418 23.0 S 221.1 0.08601628 0.9175793
20180419 0.0 S 221.1 0.0820389 0.9212361
20180419 1.0 S 221.1 0.07794911 0.9250115
20180419 2.0 S 221.1 0.07397208 0.9286976
