"Date [YYYYMMDD]" "Hour UT" Site "Frequency [GHz]" Opacity Transmittance
20180418 1.0 S 221.1 0.06214188 0.9397495
20180418 2.0 S 221.1 0.06254437 0.9393714
20180418 3.0 S 221.1 0.06185998 0.9400145
20180418 4.0 S 221.1 0.06096736 0.940854
20180418 5.0 S 221.1 0.06052642 0.9412689
20180418 6.0 S 221.1 0.05885389 0.9428445
20180418 7.0 S 221.1 0.05794391 0.9437029
20180418 8.0 S 221.1 0.05708544 0.9445134
20180418 9.0 S 221.1 0.05653678 0.9450317
20180418 10.0 S 221.1 0.04404881 0.9569072
20180418 11.0 S 221.1 0.04385237 0.9570952
20180418 12.0 S 221.1 0.04340547 0.9575231
20180418 13.0 S 221.1 0.04286235 0.9580433
20180418 14.0 S 221.1 0.04230445 0.9585779
20180418 15.0 S 221.1 0.04158616 0.9592667
20180418 16.0 S 221.1 0.04085659 0.9599668
20180418 17.0 S 221.1 0.04042062 0.9603854
20180418 18.0 S 221.1 0.0400616 0.9607303
20180418 19.0 S 221.1 0.03989089 0.9608943
20180418 20.0 S 221.1 0.03976094 0.9610191
20180418 21.0 S 221.1 0.03968086 0.9610961
20180418 22.0 S 221.1 0.03972246 0.9610561
20180418 23.0 S 221.1 0.03968624 0.9610909
20180419 0.0 S 221.1 0.03986056 0.9609234
20180419 1.0 S 221.1 0.04006573 0.9607263
20180419 2.0 S 221.1 0.04005956 0.9607322
20180419 3.0 S 221.1 0.03999663 0.9607927
20180419 4.0 S 221.1 0.04002304 0.9607673
20180419 5.0 S 221.1 0.04016346 0.9606324
20180419 6.0 S 221.1 0.04070552 0.9601118
20180419 7.0 S 221.1 0.0518645 0.9494575
20180419 8.0 S 221.1 0.05096233 0.9503145
20180419 9.0 S 221.1 0.04911876 0.9520681
20180419 10.0 S 221.1 0.04888743 0.9522883
20180419 11.0 S 221.1 0.04936183 0.9518367
20180419 12.0 S 221.1 0.0512565 0.950035
20180419 13.0 S 221.1 0.0531199 0.9482663
20180419 14.0 S 221.1 0.05494316 0.946539
20180419 15.0 S 221.1 0.0613024 0.9405388
20180419 16.0 S 221.1 0.05993963 0.9418214
20180419 17.0 S 221.1 0.05808994 0.9435651
20180419 18.0 S 221.1 0.05649149 0.9450745
20180419 19.0 S 221.1 0.058031 0.9436207
20180419 20.0 S 221.1 0.06150329 0.9403499
20180419 21.0 S 221.1 0.06534073 0.9367482
20180419 22.0 S 221.1 0.07512826 0.9276245
20180419 23.0 S 221.1 0.0795894 0.9234955
20180420 0.0 S 221.1 0.08184488 0.9214149
20180420 1.0 S 221.1 0.08403162 0.9194022
20180420 2.0 S 221.1 0.08678964 0.9168699
20180420 3.0 S 221.1 0.08977081 0.9141407
20180420 4.0 S 221.1 0.07399671 0.9286747
20180420 5.0 S 221.1 0.07528665 0.9274776
20180420 6.0 S 221.1 0.07566219 0.9271293
20180420 7.0 S 221.1 0.07562283 0.9271658
20180420 8.0 S 221.1 0.07624183 0.9265921
20180420 9.0 S 221.1 0.07720014 0.9257046
20180420 10.0 S 221.1 0.07811702 0.9248562
20180420 11.0 S 221.1 0.07917127 0.9238817
20180420 12.0 S 221.1 0.07809209 0.9248793
20180420 13.0 S 221.1 0.07727744 0.925633
20180420 14.0 S 221.1 0.07709743 0.9257996
20180420 15.0 S 221.1 0.07668563 0.926181
20180420 16.0 S 221.1 0.0465864 0.9544821
20180420 17.0 S 221.1 0.04607182 0.9549734
20180420 18.0 S 221.1 0.04567657 0.9553509
20180420 19.0 S 221.1 0.04533621 0.9556761
20180420 20.0 S 221.1 0.0449892 0.9560078
20180420 21.0 S 221.1 0.04466689 0.956316
20180420 22.0 S 221.1 0.04453079 0.9564461
20180420 23.0 S 221.1 0.04449787 0.9564776
20180421 0.0 S 221.1 0.04458512 0.9563942
20180421 1.0 S 221.1 0.0447213 0.956264
20180421 2.0 S 221.1 0.04464056 0.9563412
20180421 3.0 S 221.1 0.04463623 0.9563453
20180421 4.0 S 221.1 0.04439078 0.9565801
20180421 5.0 S 221.1 0.04403479 0.9569207
